iter	Passed	Remaining
0	1	149
1	2	141
2	4	136
3	5	126
4	6	130
5	8	132
6	10	134
7	11	135
8	13	135
9	15	135
10	16	135
11	18	135
12	20	134
13	21	134
14	23	133
15	25	132
16	26	130
17	28	130
18	30	129
19	31	127
20	33	126
21	35	125
22	37	125
23	39	124
24	41	123
25	42	122
26	44	121
27	46	120
28	48	119
29	50	118
30	52	116
31	54	115
32	56	114
33	58	113
34	60	111
35	62	110
36	64	109
37	66	107
38	67	106
39	70	105
40	72	104
41	74	102
42	76	100
43	77	99
44	79	97
45	82	96
46	84	94
47	86	93
48	87	91
49	89	89
50	91	87
51	92	85
52	94	83
53	96	81
54	97	79
55	98	77
56	100	75
57	102	74
58	104	72
59	105	70
60	107	68
61	109	66
62	110	65
63	112	63
64	114	61
65	115	59
66	117	57
67	118	55
68	120	54
69	122	52
70	123	50
71	125	48
72	127	47
73	128	45
74	130	43
75	132	41
76	133	39
77	135	38
78	136	36
79	138	34
80	140	32
81	142	31
82	143	29
83	145	27
84	147	25
85	148	24
86	150	22
87	152	20
88	153	18
89	155	17
90	156	15
91	158	13
92	160	12
93	161	10
94	163	8
95	164	6
96	166	5
97	168	3
98	169	1
99	171	0
